frame,battery,height,status,timestamp
854,66,100,Flying,20:35:15
855,66,100,Flying,20:35:15
856,66,100,Flying,20:35:15
857,66,100,Flying,20:35:15
858,66,100,Flying,20:35:15
859,66,100,Flying,20:35:15
860,66,100,Flying,20:35:15
861,66,100,Flying,20:35:16
862,66,100,Flying,20:35:16
863,66,100,Flying,20:35:16
864,66,100,Flying,20:35:16
865,66,100,Flying,20:35:16
866,66,100,Flying,20:35:16
867,65,100,Flying,20:35:16
868,65,100,Flying,20:35:16
869,65,100,Flying,20:35:16
870,65,100,Flying,20:35:16
871,65,100,Flying,20:35:16
872,65,100,Flying,20:35:16
873,65,100,Flying,20:35:16
874,65,100,Flying,20:35:16
875,65,100,Flying,20:35:16
876,65,100,Flying,20:35:16
877,65,100,Flying,20:35:16
878,65,100,Flying,20:35:16
879,65,100,Flying,20:35:16
880,65,100,Flying,20:35:17
881,65,100,Flying,20:35:17
882,65,100,Flying,20:35:17
883,65,100,Flying,20:35:17
884,65,100,Flying,20:35:17
885,65,100,Flying,20:35:17
886,65,100,Flying,20:35:17
887,65,100,Flying,20:35:17
888,65,100,Flying,20:35:17
889,65,100,Flying,20:35:17
890,65,100,Flying,20:35:17
891,65,100,Flying,20:35:17
892,65,100,Flying,20:35:17
893,65,100,Flying,20:35:17
894,65,100,Flying,20:35:17
895,65,100,Flying,20:35:17
896,65,100,Flying,20:35:17
897,64,100,Flying,20:35:17
898,64,100,Flying,20:35:17
899,64,100,Flying,20:35:18
900,64,100,Flying,20:35:18
901,64,100,Flying,20:35:18
902,64,100,Flying,20:35:18
903,64,100,Flying,20:35:18
904,64,100,Flying,20:35:18
905,64,100,Flying,20:35:18
906,64,100,Flying,20:35:18
907,64,100,Flying,20:35:18
908,64,100,Flying,20:35:18
909,64,100,Flying,20:35:18
910,64,100,Flying,20:35:18
911,64,100,Flying,20:35:18
912,64,100,Flying,20:35:18
913,64,100,Flying,20:35:18
914,64,100,Flying,20:35:18
915,64,100,Flying,20:35:18
916,64,100,Flying,20:35:18
917,64,100,Flying,20:35:18
918,64,100,Flying,20:35:18
919,64,100,Flying,20:35:19
920,64,100,Flying,20:35:19
921,64,100,Flying,20:35:19
922,64,100,Flying,20:35:19
923,64,100,Flying,20:35:19
924,64,100,Flying,20:35:19
925,64,100,Flying,20:35:19
926,64,100,Flying,20:35:19
927,64,100,Flying,20:35:19
928,64,100,Flying,20:35:19
929,64,100,Flying,20:35:19
930,64,100,Flying,20:35:19
931,64,100,Flying,20:35:19
932,64,100,Flying,20:35:19
933,64,100,Flying,20:35:19
934,64,100,Flying,20:35:19
935,64,100,Flying,20:35:19
936,64,100,Flying,20:35:19
937,64,100,Flying,20:35:19
938,64,100,Flying,20:35:19
939,64,100,Flying,20:35:20
940,64,100,Flying,20:35:20
941,64,100,Flying,20:35:20
942,64,100,Flying,20:35:20
943,64,100,Flying,20:35:20
944,64,100,Flying,20:35:20
945,64,100,Flying,20:35:20
946,64,100,Flying,20:35:20
947,64,100,Flying,20:35:20
948,64,100,Flying,20:35:20
949,64,100,Flying,20:35:20
950,64,100,Flying,20:35:20
951,64,100,Flying,20:35:20
952,64,100,Flying,20:35:20
953,64,100,Flying,20:35:20
954,64,100,Flying,20:35:20
955,64,100,Flying,20:35:20
956,64,100,Flying,20:35:20
957,63,100,Flying,20:35:21
958,63,100,Flying,20:35:21
959,63,100,Flying,20:35:21
960,63,100,Flying,20:35:21
961,63,100,Flying,20:35:21
962,63,100,Flying,20:35:21
963,63,100,Flying,20:35:21
964,63,100,Flying,20:35:21
965,63,100,Flying,20:35:21
966,63,100,Flying,20:35:21
967,63,100,Flying,20:35:21
968,63,100,Flying,20:35:21
969,63,100,Flying,20:35:21
970,63,100,Flying,20:35:21
971,63,100,Flying,20:35:21
972,63,100,Flying,20:35:21
973,63,100,Flying,20:35:21
974,63,100,Flying,20:35:21
975,63,100,Flying,20:35:21
976,63,100,Flying,20:35:21
977,63,100,Flying,20:35:22
978,63,100,Flying,20:35:22
979,63,100,Flying,20:35:22
980,63,100,Flying,20:35:22
981,63,100,Flying,20:35:22
982,63,100,Flying,20:35:22
983,63,100,Flying,20:35:22
984,63,100,Flying,20:35:22
985,63,100,Flying,20:35:22
986,63,100,Flying,20:35:22
987,62,100,Flying,20:35:22
988,62,100,Flying,20:35:22
989,60,-10,Landing,20:35:26
990,60,-10,Landing,20:35:26
